filename,text
side4_shitang_cyrene_101.wav,不管看多少次，都觉得好漂亮呢……
side4_shitang_cyrene_102_f.wav,呀，{NICKNAME}，见到你真高兴。快来看，要见识下哀丽秘榭的宝物吗？
side4_shitang_cyrene_102_m.wav,呀，{NICKNAME}，见到你真高兴。快来看，要见识下哀丽秘榭的宝物吗？
side4_shitang_cyrene_103.wav,这边这边，仔细瞧——
side4_shitang_cyrene_104.wav,是不是特别漂亮？
side4_shitang_cyrene_105.wav,怎么不说话，是被自己迷倒了吗？
side4_shitang_cyrene_106.wav,是呀，这就是我说的，独一无二的至宝。
side4_shitang_cyrene_107_f.wav,是呀，{NICKNAME}也能理解吧？每个人都有粉扑扑的，路过镜子就走不动路的时候……
side4_shitang_cyrene_107_m.wav,是呀，{NICKNAME}也能理解吧？每个人都有粉扑扑的，路过镜子就走不动路的时候……
side4_shitang_cyrene_108.wav,好啦，我没骗你。宝物就在这儿，就是这片小湖，人家的小世界。
side4_shitang_cyrene_109_f.wav,提问！{NICKNAME}喜欢独处吗？我很喜欢哦。一个人望着湖面，秋千一摇一摇，思绪就会飘到很远的地方，再回来时…自己已经睡着啦。
side4_shitang_cyrene_109_m.wav,提问！{NICKNAME}喜欢独处吗？我很喜欢哦。一个人望着湖面，秋千一摇一摇，思绪就会飘到很远的地方，再回来时…自己已经睡着啦。
side4_shitang_cyrene_110.wav,在这永夜之帷包裹的村庄，梦会为幻想插上翅膀。在哀丽秘榭长大的孩子，生来就是浪漫的诗人。
side4_shitang_cyrene_111.wav,气氛难得，不如让我即兴为你讲个故事吧。
side4_shitang_cyrene_112_f.wav,好有耐心呀，我好高兴。有{NICKNAME}这样的听众在，故事才会焕发生命。
side4_shitang_cyrene_112_m.wav,好有耐心呀，我好高兴。有{NICKNAME}这样的听众在，故事才会焕发生命。
side4_shitang_cyrene_113.wav,别担心，那就把它当作睡前故事。我会用很轻、很轻的悄悄话，讲完最后一个句号哦。
side4_shitang_cyrene_114.wav,收拾心绪，也是启程的一环呀。拜托啦，不会花太久的，就当是满足人家的小小心愿，可以吗？
side4_shitang_cyrene_115_f.wav,谢谢！我就知道，{NICKNAME}最好啦。
side4_shitang_cyrene_115_m.wav,谢谢！我就知道，{NICKNAME}最好啦。
side4_shitang_cyrene_116.wav,「传说呀，在哀丽秘榭的秘境里，居住着一群小妖精。」
side4_shitang_cyrene_117.wav,「妖精们与世隔绝，却向往人类的生活。它们想模仿村民，举办一场宴会，却唯独缺少了最重要的人。」
side4_shitang_cyrene_118.wav,「它们等呀等，终于有一天，迷境入口传来了脚步声！妖精们纷纷竖起了耳朵……」
side4_shitang_cyrene_119.wav,哎呀，你说…故事的主人公，现在是不是也竖起小耳朵了呢？
side4_shitang_cyrene_120.wav,「竟然！主人公不仅察觉了世界的本质，还说出了非常不得了的台词。但人家必须指出，扮演上层叙事者是犯规的哦！」
side4_shitang_cyrene_121_f.wav,真热闹呀，已经和妖精们打成一片了？不愧是{NICKNAME}，不管在哪里都魅力四射呢。
side4_shitang_cyrene_121_m.wav,真热闹呀，已经和妖精们打成一片了？不愧是{NICKNAME}，不管在哪里都魅力四射呢。
side4_shitang_cyrene_122.wav,村长，还有徕啦迷，好久不见！按照约定，我们来啦。
side4_shitang_cyrene_123.wav,「咳咳，这是故事的登场人物之一，出生在哀丽秘榭的平凡少女，只是恰好和我同名，又一样纯真可爱。」
side4_shitang_cyrene_124.wav,「体谅一下啦，即兴创作可是很难的。作为补偿，我会把你的部分讲得更绘声绘色哦！」
side4_shitang_cyrene_125.wav,…那也在「严重」的范围内啦。
side4_shitang_cyrene_126.wav,就是这样。就当是为了翁法罗斯，我们一起复兴餐馆，满足妖精们的小小愿望吧。
side4_shitang_cyrene_127.wav,指引就交给我吧。走，我先带你去看看…迷境里的小餐馆，别有一番情调呢。
side4_shitang_cyrene_128.wav,这边这边，大家已经在布置场地啦。
side4_shitang_cyrene_129_f.wav,{NICKNAME}来了兴致，想和大家玩「新朋友游戏」呢。嘻，就配合{F#她}{M#他}一下吧。
side4_shitang_cyrene_129_m.wav,{NICKNAME}来了兴致，想和大家玩「新朋友游戏」呢。嘻，就配合{F#她}{M#他}一下吧。
side4_shitang_cyrene_130.wav,应该不用我多介绍。阿格莱雅和刻律德菈，她们位高权重，在团队管理方面很有心得。
side4_shitang_cyrene_131.wav,缇宝、缇宁和缇安，可靠的送餐服务负责人，也是员工的好老师。
side4_shitang_cyrene_132.wav,还有白厄，咱们的好朋友，自称做得一手好菜，现在是餐馆主厨（临时）。
side4_shitang_cyrene_133.wav,比预想中更顺利呢。既然大家都准备好了……
side4_shitang_cyrene_134.wav,那就立马开始第一次营业吧。看你了，店长。
side4_shitang_cyrene_135.wav,我宣布——妖精餐馆首次经营，完美结束！
side4_shitang_cyrene_136.wav,当然，对你来说一定轻轻松松，对吧？不打算说点什么吗？
side4_shitang_cyrene_137_f.wav,好正经呀！莫非…{NICKNAME}其实有领导者的潜能？
